Reaper killed Zergling;X_LDVITSolar lost 1 units, 0.5 supply.X_LDAt 0:03:57. X_LDX_LD==ByuN== X_LD- Kill(s): Reaper killed Zergling,   X_LD- Combat: A-move(3),  X_LD- Non-combat: Right Click(8),  X_LD- Control group(s) used: -- X_LD3: SCV(6), Barracks Flying, Reaper(2), -- X_LD1: Main base, -- X_LD2: SCV(2),  X_LDX_LD==VITSolar==    X_LD- Non-combat: Right Click(9),  X_LD- Control group(s) used: -- X_LD4: Overlord, Main base, Natural, Zergling(2), -- X_LD1: Drone(4), Queen(2), Main base, -- X_LD3: Overlord, -- X_LD2: Overlord, Spawning Pool, Zergling, ;Battle;Battle:1;0:03:57;Common;1;0;1;0.5;0:03:57;;;;;;;;;;;;
Reaper killed Zergling near Natural;X_LDVITSolar lost 1 units, 0.5 supply.X_LDAt 0:04:36. X_LDX_LD==ByuN== X_LD- Kill(s): Reaper killed Zergling,   X_LD- Combat: A-move,  X_LD- Non-combat: Calldown MULE, Right Click(4),  X_LD- Control group(s) used: -- X_LD6: Natural, 3rd base, -- X_LD1: Main base, -- X_LD5: SCV(2), Factory(3), -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion, -- X_LD4: Main base, SCV(16), Natural, Barracks Flying, Marine,  X_LDX_LD==VITSolar==    X_LD- Non-combat: Right Click(7),  X_LD- Control group(s) used: -- X_LD3: Overlord, Zergling(2), -- X_LD2: Overlord, Spawning Pool, Zergling(7), Larva(2), -- X_LD4: Overlord, Main base, Natural, Zergling(2), ;Battle;Battle:2;0:04:36;Common;1;0;1;0.5;0:04:36;;;;;;;;;;;;
BattleHellion killed Zergling;X_LDVITSolar lost 1 units, 0.5 supply.X_LDAt 0:05:02. X_LDX_LD==ByuN== X_LD- Kill(s): Battle Hellion killed Zergling,    X_LD- Non-combat: Right Click(5), Build Refinery,  X_LD- Control group(s) used: -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(2), Battle Hellion, -- X_LD5: SCV(2), Factory(3), -- X_LD6: Natural, 3rd base, -- X_LD4: Main base, SCV(16), Natural, Barracks Flying, Marine,  X_LDX_LD==VITSolar==    X_LD- Non-combat: Right Click(3),  X_LD- Control group(s) used: -- X_LD1: Drone(3), Queen(4), Main base, -- X_LD0: Queen(3), -- X_LD2: Overlord, Spawning Pool, Zergling(7), -- X_LD3: Overlord, Zergling(3), -- X_LD4: Overlord, Main base, Natural, Zergling(2), -- X_LD5: -- X_LD6: ;Battle;Battle:3;0:05:02;Common;1;0;1;0.5;0:05:02;;;;;;;;;;;;
Marine killed Overlord near 3rd base;X_LDVITSolar lost an Overlord.X_LDAt 0:05:11. X_LDX_LD==ByuN== X_LD- Kill(s): Marine killed Overlord,   X_LD- Combat: A-move,  X_LD- Non-combat: Right Click(9),  X_LD- Control group(s) used: -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(2), Battle Hellion, -- X_LD6: Natural, 3rd base, -- X_LD1: Main base, -- X_LD5: SCV(2), Factory(3), -- X_LD4: Main base, SCV(16), Natural, Barracks Flying, Marine, Hellion(2),  X_LDX_LD==VITSolar==   X_LD- Combat: A-move,  X_LD- Non-combat: Build Extractor, Right Click(3),  X_LD- Control group(s) used: -- X_LD4: Overlord, Main base, Natural, Zergling, -- X_LD1: Drone(3), Queen(4), Main base, ;Battle;Battle:4;0:05:11;Common;1;0;1;0;0:05:11;;;;;;;;;;;;
Hellion killed Zergling;X_LDVITSolar lost 1 units, 0.5 supply.X_LDAt 0:05:39. X_LDX_LD==ByuN== X_LD- Kill(s): Hellion killed Zergling,   X_LD- Combat: A-move,  X_LD- Non-combat: Build Armory, Right Click(7),  X_LD- Control group(s) used: -- X_LD1: Main base, -- X_LD5: SCV(2), Factory(3), -- X_LD6: Natural, 3rd base, -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(2), Battle Hellion, -- X_LD4: Main base, SCV(16), Natural, Barracks Flying, Marine, Hellion(2),  X_LDX_LD==VITSolar==    X_LD- Non-combat: Right Click(10), Spawn Larva,  X_LD- Control group(s) used: -- X_LD2: Spawning Pool, Zergling(8), -- X_LD3: Zergling(2), -- X_LD4: Main base, Natural, Zergling, -- X_LD0: Queen(3), -- X_LD1: Drone(3), Queen(4), Main base, -- X_LD5: -- X_LD6: ;Battle;Battle:5;0:05:39;Common;1;0;1;0.5;0:05:39;;;;;;;;;;;;
Cyclone killed Zergling;X_LDVITSolar lost 1 units, 0.5 supply.X_LDAt 0:06:10. X_LDX_LD==ByuN== X_LD- Kill(s): Cyclone killed Zergling,   X_LD- Combat: A-move,  X_LD- Non-combat: Right Click, Build Refinery(2), Build Supply Depot,  X_LD- Control group(s) used: -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(4), Battle Hellion, Marine(2), Cyclone(5), -- X_LD5: SCV(2), Factory(3), -- X_LD6: Natural, 3rd base,  X_LDX_LD==VITSolar==     X_LD- Control group(s) used: -- X_LD4: Main base, Natural, Zergling, 3rd base, -- X_LD2: Spawning Pool, Zergling(7), Larva(4), ;Battle;Battle:6;0:06:10;Common;1;0;1;0.5;0:06:10;;;;;;;;;;;;
Zerglings died;X_LDVITSolar lost 3 units, 1.5 supply.X_LDAt 0:06:30. X_LDX_LD==ByuN== X_LD- Kill(s): Hellion killed Zergling(3),   X_LD- Combat: A-move(3),  X_LD- Non-combat: Right Click(12), Gather,  X_LD- Control group(s) used: -- X_LD1: Main base, -- X_LD2: SCV(3), Marine, -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(4), Battle Hellion, Marine(2), Cyclone(7), -- X_LD5: SCV(2), Factory(3), -- X_LD6: Natural, 3rd base, -- X_LD7: Armory, -- X_LD4: Main base, SCV(16), Natural, Barracks Flying, Marine, Hellion(2),  X_LDX_LD==VITSolar==   X_LD- Combat: A-move,  X_LD- Non-combat: Right Click(9),  X_LD- Control group(s) used: -- X_LD3: Zergling(2), Larva, ;Battle;Battle:7;0:06:30;Common;3;0;3;1.5;0:06:30;;;;;;;;;;;;
Zerglings died;X_LDVITSolar lost 3 units, 1.5 supply.X_LDFrom 0:06:34 to 0:06:38. X_LDX_LD==ByuN== X_LD- Kill(s): Hellion killed Zergling(3),   X_LD- Combat: A-move(7),  X_LD- Non-combat: Right Click(10),  X_LD- Control group(s) used: -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(4), Battle Hellion, Marine(2), Cyclone(7), -- X_LD4: Main base, SCV(20), Natural, Barracks Flying, Marine, Hellion(2), MULE, Reaper, Battle Hellion, -- X_LD1: Main base, -- X_LD2: SCV(3), Marine, -- X_LD5: SCV(2), Factory(3), -- X_LD6: Natural, 3rd base, -- X_LD7: Armory,  X_LDX_LD==VITSolar==    X_LD- Non-combat: Right Click(11), Spawn Larva(4),  X_LD- Control group(s) used: -- X_LD4: Main base, Natural, Zergling(6), 3rd base, -- X_LD3: Zergling(6), -- X_LD2: Spawning Pool, Zergling(6), Larva(2), -- X_LD0: Queen(4), ;Battle;Battle:8;0:06:34;Common;3;0;3;1.5;0:06:38;;;;;;;;;;;;
Cyclone killed Queen;X_LDVITSolar lost 1 units, 2 supply.X_LDAt 0:06:52. X_LDX_LD==ByuN== X_LD- Kill(s): Cyclone killed Queen,   X_LD- Combat: A-move(5),  X_LD- Non-combat: Right Click(8),  X_LD- Control group(s) used: -- X_LD5: SCV(2), Factory(3), -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(4), Battle Hellion, Marine(2), Cyclone(7),  X_LDX_LD==VITSolar==   X_LD- Combat: Queen Transfusion(6), A-move,  X_LD- Non-combat: Right Click(7),  X_LD- Control group(s) used: -- X_LD2: Spawning Pool, Zergling(5), Larva(4), Roach(7), Ravager(5), -- X_LD1: Drone(3), Queen(4), Main base, -- X_LD3: Zergling(5), Drone(6), Larva, -- X_LD4: Main base, Natural, Zergling(5), 3rd base, ;Battle;Battle:9;0:06:52;Common;1;0;1;2;0:06:52;;;;;;;;;;;;
Reapers Queens Zerglings died;ByuN lost 1 units, 1 supply.X_LDVITSolar lost 7 units, 6.5 supply.X_LDFrom 0:06:55 to 0:06:57. X_LDX_LD==ByuN== X_LD- Kill(s): Cyclone killed Queen(2), Marine killed Zergling, Cyclone killed Zergling(3), Hellion killed Zergling,   X_LD- Combat: A-move(7),  X_LD- Non-combat: Right Click(9), Gather,  X_LD- Control group(s) used: -- X_LD3: SCV(6), Barracks Flying, Reaper(2), Hellion(4), Battle Hellion, Marine(2), Cyclone(12), -- X_LD5: SCV(2), Factory(3), -- X_LD2: SCV(3), Marine, -- X_LD1: Main base, -- X_LD6: Natural, 3rd base,  X_LDX_LD==VITSolar== X_LD- Kill(s): Zergling killed Reaper,   X_LD- Combat: A-move(4), Queen Transfusion, Ravager Corrosive Bile,  X_LD- Non-combat: Right Click(6),  X_LD- Control group(s) used: -- X_LD1: Drone(3), Main base, Queen, Roach, -- X_LD2: Spawning Pool, Zergling(4), Larva(3), Roach(7), Ravager(5), -- X_LD3: Zergling(4), Drone(6), Larva, -- X_LD4: Main base, Natural, Zergling(4), 3rd base, ;Battle;Battle:10;0:06:55;Common;8;1;7;7.5;0:06:57;;;;;;;;;;;;
